timestemp, imsi, cellID, x, y, label_x, label_y, accuracy (1-MSE)
1731142173900.0,2,3,275.91556,330.60046,360.0,283.0,96.6229685265103
1731142173914.0,1,4,140.02116,402.11807,198.0,355.0,74.710495936816
1731142174000.0,2,3,332.4285,228.04898,360.0,283.0,61.480096340960216
1731142174014.0,1,4,126.51049,321.50424,198.0,355.0,78.94755107229419
1731142174100.0,2,3,141.06879,411.6352,360.0,283.0,253.9249704637179
1731142174114.0,1,4,153.56508,392.4997,198.0,355.0,58.14369658978521
1731142174200.0,2,3,247.68658,324.56595,360.0,283.0,119.75821996840133
1731142174214.0,1,4,201.0584,500.07773,198.0,355.0,145.10995965344694
1731142174300.0,2,3,342.64386,239.45119,360.0,283.0,46.880004941139354
1731142174314.0,1,4,148.67966,406.59744,198.0,355.0,71.37781504409301
1731142174400.0,2,3,255.25093,407.37207,360.0,283.0,162.60620928142626
1731142174414.0,1,4,168.04979,442.54843,198.0,355.0,92.5296880145097
1731142174500.0,2,3,285.5365,249.5464,360.0,283.0,81.63305736457198
1731142174514.0,1,4,132.82169,443.91263,198.0,355.0,110.24367541383043
1731142174600.0,2,3,91.40358,365.15985,360.0,283.0,280.8812721818598
1731142174614.0,1,4,177.07486,442.37698,198.0,355.0,89.84764122008157
1731142174700.0,2,3,328.16397,393.6693,360.0,283.0,115.15741179875266
1731142174714.0,1,4,125.6558,351.5045,198.0,355.0,72.42859832599792
1731142174800.0,2,3,298.51752,291.6273,360.0,283.0,62.08482808952804
1731142174814.0,1,4,170.73868,430.51422,198.0,355.0,80.28435182797143
1731142174900.0,2,3,381.7961,342.00192,360.0,283.0,62.899104630203205
1731142174914.0,1,4,139.56688,451.8085,198.0,355.0,113.07659098897304
1731142175000.0,2,3,183.51147,423.678,360.0,283.0,225.69559145007685
1731142175014.0,1,4,197.96568,427.72958,198.0,355.0,72.72959000103569
1731142175100.0,2,3,220.0059,471.96057,360.0,283.0,235.16897183195746
1731142175114.0,1,4,204.4092,460.3971,198.0,355.0,105.59178934255495
1731142175200.0,2,3,175.16281,332.3087,360.0,283.0,191.30115737365523
1731142175214.0,1,4,133.34447,408.89377,198.0,355.0,84.1717053205084
1731142175300.0,2,3,164.1822,339.67218,360.0,283.0,203.85373126337424
1731142175314.0,1,4,122.55286,432.91608,198.0,355.0,108.45822478464923
1731142175400.0,2,3,344.47168,258.24463,360.0,283.0,29.222544247295723
1731142175414.0,1,4,170.76608,415.85648,198.0,355.0,66.67230892464839
1731142175500.0,2,3,181.00227,249.04807,360.0,283.0,182.189236698412
1731142175514.0,1,4,178.04086,545.61975,198.0,355.0,191.66183191365985
1731142175600.0,2,3,250.47116,265.68384,360.0,283.0,110.88920603749041
1731142175614.0,1,4,163.25769,483.29288,198.0,355.0,132.91384368736763
1731142175700.0,2,3,350.56155,292.55734,360.0,283.0,13.432314133770147
1731142175714.0,1,4,179.81325,441.09512,198.0,355.0,87.99504491553772
1731142175800.0,2,3,245.37793,447.09665,360.0,283.0,200.164756357107
1731142175814.0,1,4,143.5289,404.90576,198.0,355.0,73.8761500545
1731142175900.0,2,3,265.7071,349.9555,360.0,283.0,115.64683915373563
1731142175914.0,1,4,122.16194,416.88068,198.0,355.0,97.88068709531008
1731142176000.0,2,3,216.90047,377.0856,360.0,283.0,171.2588045181911
1731142176014.0,1,4,139.09134,416.12793,198.0,355.0,84.89319174059985
1731142176100.0,2,3,180.65584,344.36856,360.0,283.0,189.55323707998235
1731142176114.0,1,4,187.56845,470.50027,198.0,355.0,115.97038785558578
1731142176200.0,2,3,109.66063,326.5052,360.0,283.0,254.09152663213703
1731142176214.0,1,4,155.55518,328.7158,198.0,355.0,49.92417101527575
1731142176300.0,2,3,121.972404,389.75476,360.0,283.0,260.8710619012772
1731142176314.0,1,4,146.14009,310.37158,198.0,355.0,68.41890086879319
1731142176400.0,2,3,235.54437,355.66418,360.0,283.0,144.1155338933836
1731142176414.0,1,4,137.91072,406.34805,198.0,355.0,79.04014011880292
1731142176500.0,2,3,85.192,471.30002,360.0,283.0,333.1310975051714
1731142176514.0,1,4,147.00833,359.5056,198.0,355.0,51.190340179904794
1731142176600.0,2,3,239.90251,210.10997,360.0,283.0,140.48616757976566
1731142176614.0,1,4,176.35696,493.00848,198.0,355.0,139.69525286091508
1731142176700.0,2,3,324.0266,413.59,360.0,283.0,135.4541694863986
1731142176714.0,1,4,141.04498,425.23434,198.0,355.0,90.42531340663133
1731142176800.0,2,3,286.39746,404.9423,360.0,283.0,142.433345156603
1731142176814.0,1,4,139.06976,409.39578,198.0,355.0,80.19771710045741
1731142176900.0,2,3,216.81645,301.80484,360.0,283.0,144.4131240248787
1731142176914.0,1,4,118.187294,394.2359,198.0,355.0,88.93550430385635
1731142177000.0,2,3,424.7308,249.2246,360.0,283.0,73.01270758402266
1731142177014.0,1,4,166.43864,484.3271,198.0,355.0,133.12255719589749
1731142177100.0,2,3,260.72678,225.46397,360.0,283.0,114.74130634959887
1731142177114.0,1,4,191.87859,435.21124,198.0,355.0,80.44448359835651
1731142177200.0,2,3,355.41003,138.28604,360.0,283.0,144.7867302815593
1731142177214.0,1,4,90.42393,375.41803,198.0,355.0,109.49660650420861
1731142177300.0,2,3,170.68503,408.31293,360.0,283.0,227.0319188737566
1731142177314.0,1,4,134.1181,414.03882,198.0,355.0,86.98550750340542
1731142177400.0,2,3,142.2994,331.41473,360.0,283.0,223.01915381587744
1731142177414.0,1,4,139.21188,418.2103,198.0,355.0,86.32255779560172
1731142177500.0,2,3,334.3588,258.0272,360.0,283.0,35.79263260544165
1731142177514.0,1,4,116.24307,340.42584,198.0,355.0,83.04577991987311
1731142177600.0,2,3,141.48111,390.08887,360.0,283.0,243.34857971642242
1731142177614.0,1,4,124.52265,339.52512,198.0,355.0,75.08923402463398
1731142177700.0,2,3,231.87534,380.99094,360.0,283.0,161.30143317326724
1731142177714.0,1,4,183.48969,367.4788,198.0,355.0,19.138167093461842
1731142177800.0,2,3,292.0221,379.35916,360.0,283.0,117.9240602437645
1731142177814.0,1,4,163.78888,470.78915,198.0,355.0,120.73743545525762
1731142177900.0,2,3,133.69783,343.9206,360.0,283.0,234.35868276532875
1731142177914.0,1,4,145.44806,416.75827,198.0,355.0,81.09124815504907
1731142178000.0,2,3,298.20328,317.18967,360.0,283.0,70.6241357801106
1731142178014.0,1,4,220.1158,451.4481,198.0,355.0,98.95121410795069
1731142178100.0,2,3,130.55676,362.2309,360.0,283.0,242.73799532623647
1731142178114.0,1,4,176.59932,446.57718,198.0,355.0,94.04450616928668
1731142178200.0,2,3,230.84953,484.60825,360.0,283.0,239.42792332714663
1731142178214.0,1,4,158.44952,461.79187,198.0,355.0,113.88039401330239
1731142178300.0,2,3,315.90988,196.20012,360.0,283.0,97.35583291783291
1731142178314.0,1,4,123.10625,359.07602,198.0,355.0,75.00458644830495
